year,cipcode,major_number,total,instnm,cip_code,humanities_discipline,classification,total_students,total_degrees
2005,16.1203,1,4,Harvard University,Latin Language and Literature,Classical Studies,Humanities,1807,1910
2005,16.9999,1,1,Harvard University,"Foreign Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,Humanities,1807,1910
2005,23.0101,1,117,Harvard University,"English Language and Literature, General",English Language and Literature,Humanities,1807,1910
2005,23.0101,2,4,Harvard University,"English Language and Literature, General",English Language and Literature,Humanities,1807,1910
2005,23.9999,1,7,Harvard University,"English Language and Literature/Letters, Other",English Language and Literature,Humanities,1807,1910
2005,23.9999,2,2,Harvard University,"English Language and Literature/Letters, Other",English Language and Literature,Humanities,1807,1910
2005,24.0101,1,131,Harvard University,Liberal Arts and Sciences/Liberal Studies,General Humanities/Liberal Studies,Humanities,1807,1910
2005,26.0101,1,106,Harvard University,"Biology/Biological Sciences, General",NA,Natural Sciences,1807,1910
2005,26.0202,1,70,Harvard University,Biochemistry,NA,Natural Sciences,1807,1910
2005,27.0101,1,29,Harvard University,"Mathematics, General",NA,Natural Sciences,1807,1910
2005,27.0101,2,13,Harvard University,"Mathematics, General",NA,Natural Sciences,1807,1910
2005,27.0301,1,36,Harvard University,"Applied Mathematics, General",NA,Natural Sciences,1807,1910
2005,27.0501,1,3,Harvard University,"Statistics, General",NA,Natural Sciences,1807,1910
2005,38.0101,1,23,Harvard University,Philosophy,Philosophy,Humanities,1807,1910
2005,38.0101,2,4,Harvard University,Philosophy,Philosophy,Humanities,1807,1910
2005,38.0201,1,24,Harvard University,Religion/Religious Studies,Religion,Humanities,1807,1910
2005,38.0201,2,4,Harvard University,Religion/Religious Studies,Religion,Humanities,1807,1910
2005,40.0299,1,1,Harvard University,"Astronomy and Astrophysics, Other",NA,Natural Sciences,1807,1910
2005,40.0299,2,2,Harvard University,"Astronomy and Astrophysics, Other",NA,Natural Sciences,1807,1910
2005,40.0501,1,27,Harvard University,"Chemistry, General",NA,Natural Sciences,1807,1910
2005,40.0601,1,6,Harvard University,"Geology/Earth Science, General",NA,Natural Sciences,1807,1910
